expanded_url,file_name,directory,file_downloaded
https://api.nga.gov/iiif/3c838c28-76db-4a30-b59a-1e7ec4c88b32/full/full/0/default.jpg,Babilonia.jpg,./All_Images,True
https://api.nga.gov/iiif/03896dc3-2ef2-4f73-9127-8dc1fe088d5b/full/full/0/default.jpg,Lunaire.jpg,./All_Images,True
https://api.nga.gov/iiif/166f96ba-21fa-4233-a60a-4919c5ec16c2/full/full/0/default.jpg,Mujer.jpg,./All_Images,True
https://api.nga.gov/iiif/463171b5-806e-4ff4-a0d6-fd9717bc4309/full/full/0/default.jpg,Port_of_Uruguay.jpg,./All_Images,True
https://api.nga.gov/iiif/e30f8bfc-84e4-4162-be5e-9e5f41cd936d/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/e219709a-6fcc-4559-9459-2d6877681b79/full/full/0/default.jpg,City_of_the_Eyes_I.jpg,./All_Images,True
https://api.nga.gov/iiif/7ee6a216-1398-41b1-9444-2e65c80db44a/full/full/0/default.jpg,City_of_the_Eyes_II.jpg,./All_Images,True
https://api.nga.gov/iiif/504ea081-0e23-42e4-bf95-5970de613d71/full/full/0/default.jpg,City_of_the_Eyes_III.jpg,./All_Images,True
https://api.nga.gov/iiif/bbb69e27-3960-480a-9add-3a9e6f66d8ea/full/full/0/default.jpg,City_of_the_Eyes_IV.jpg,./All_Images,True
https://api.nga.gov/iiif/dd62856f-6036-49ba-97b6-a8e895d01f19/full/full/0/default.jpg,City_of_the_Eyes_V.jpg,./All_Images,True
https://api.nga.gov/iiif/c6f6aa75-6624-4070-9c9c-54cacccdd4cb/full/full/0/default.jpg,City_of_the_Eyes_VI.jpg,./All_Images,True
https://api.nga.gov/iiif/2173245e-99f7-4bc5-a7f9-80b8a6bd3947/full/full/0/default.jpg,City_of_the_Eyes_VII.jpg,./All_Images,True
https://api.nga.gov/iiif/68f35bcf-49f6-4050-b9b2-9156b230b6a1/full/full/0/default.jpg,City_of_the_Eyes_VIII.jpg,./All_Images,True
https://api.nga.gov/iiif/e4c16214-4ac1-40bc-a4e6-46549ac9b894/full/full/0/default.jpg,City_of_the_Eyes_IX.jpg,./All_Images,True
https://api.nga.gov/iiif/e1096521-ea9c-4010-9519-34493b19a8e2/full/full/0/default.jpg,City_of_the_Eyes_X.jpg,./All_Images,True
https://api.nga.gov/iiif/b51720f1-c8c7-4ff7-9a0c-c0e3375d6091/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/686c3294-86da-43c4-b3d7-711cf02dd2f8/full/full/0/default.jpg,Window.jpg,./All_Images,True
https://api.nga.gov/iiif/ad21ed2d-841d-4c49-95bd-45e061b79012/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/d4053500-c704-491f-8b73-4b32f89dea84/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/3eb2273d-aa07-42e4-b075-e77b84708c71/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/6bd20bc7-62d5-4ed2-a523-d8d6650cf612/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/13eede6a-de69-4c37-8c36-3c7297b04dfd/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/80204088-0414-4a17-a00b-609b1ee3ed84/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/93025113-bd40-4031-8bda-ec4a4cfea885/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
