countries_present,pct_countries_from_continent_NGA,pct_from_continent_NGA,countries_missing,pct_countries_missing_from_continent_NGA,is_missing
0,0.0,0.0,57,1.0,1
0,0.0,0.0,2,1.0,1
0,0.0,0.0,53,1.0,1
9,0.18,0.5912930875007708,41,0.82,0
1,0.025,0.4087069124992292,39,0.975,0
0,0.0,0.0,24,1.0,1
0,0.0,0.0,15,1.0,1
0,0.0,0.0,8,1.0,1
