objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,birthyear,deathyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
64162,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64168,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64169,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64173,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64175,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64179,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64181,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
10591,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
163543,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64160,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64164,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64170,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64174,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64176,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
