uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,created,modified,depictstmsobjectid,assistivetext,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name,objectid.1,accessioned,accessionnum,locationid,title,displaydate.1,beginyear.1,endyear.1,visualbrowsertimespan.1,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,subclassification,visualbrowserclassification,parentid,isvirtual,departmentabbr,portfolio,series,volume,watermarks,lastdetectedmodification,customprinturl
7dc7aaee-9ed3-46e8-bbfa-cb79b3d722ee,https://api.nga.gov/iiif/7dc7aaee-9ed3-46e8-bbfa-cb79b3d722ee,"https://api.nga.gov/iiif/7dc7aaee-9ed3-46e8-bbfa-cb79b3d722ee/full/!200,200/0/default.jpg",primary,0,3209,4000,640.0,2012-01-23 12:21:55-05,2022-06-14 16:39:30-04,30702,,30702,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30702,1,1944.14.33,,Street Meeting,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
e814a3a6-49d1-47c3-a939-ff359624aebc,https://api.nga.gov/iiif/e814a3a6-49d1-47c3-a939-ff359624aebc,"https://api.nga.gov/iiif/e814a3a6-49d1-47c3-a939-ff359624aebc/full/!200,200/0/default.jpg",primary,0,3190,4000,640.0,2012-01-23 12:24:33-05,2022-06-14 16:39:31-04,30706,,30706,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30706,1,1944.14.37,,The Thunderbolt,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
28ac13b4-2e6c-405b-945e-78217bbabf0b,https://api.nga.gov/iiif/28ac13b4-2e6c-405b-945e-78217bbabf0b,"https://api.nga.gov/iiif/28ac13b4-2e6c-405b-945e-78217bbabf0b/full/!200,200/0/default.jpg",primary,0,4000,3185,640.0,2012-01-23 12:25:05-05,2022-06-14 16:39:31-04,30707,,30707,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30707,1,1944.14.38,,Juarez,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
973327a8-9df1-47bc-828e-ed73cf47d73b,https://api.nga.gov/iiif/973327a8-9df1-47bc-828e-ed73cf47d73b,"https://api.nga.gov/iiif/973327a8-9df1-47bc-828e-ed73cf47d73b/full/!200,200/0/default.jpg",primary,0,4000,3195,640.0,2012-01-23 12:25:45-05,2022-06-14 16:39:31-04,30708,,30708,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30708,1,1944.14.39,,The Vulture's Nest,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
61962d8c-ed89-4877-98f4-9e8fdebe6f81,https://api.nga.gov/iiif/61962d8c-ed89-4877-98f4-9e8fdebe6f81,"https://api.nga.gov/iiif/61962d8c-ed89-4877-98f4-9e8fdebe6f81/full/!200,200/0/default.jpg",primary,0,4000,3234,640.0,2012-01-23 12:26:13-05,2022-06-14 16:39:31-04,30709,,30709,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30709,1,1944.14.40,,Fascism I,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
6332d518-b57e-45ad-8a63-ec89a7fd5190,https://api.nga.gov/iiif/6332d518-b57e-45ad-8a63-ec89a7fd5190,"https://api.nga.gov/iiif/6332d518-b57e-45ad-8a63-ec89a7fd5190/full/!200,200/0/default.jpg",primary,0,3233,4000,640.0,2012-01-23 12:27:06-05,2022-06-14 16:39:32-04,30710,,30710,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30710,1,1944.14.41,,Fascism II,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
bb6315fe-f30e-4fa6-be71-977f1872357b,https://api.nga.gov/iiif/bb6315fe-f30e-4fa6-be71-977f1872357b,"https://api.nga.gov/iiif/bb6315fe-f30e-4fa6-be71-977f1872357b/full/!200,200/0/default.jpg",primary,0,3211,4000,640.0,2012-01-23 12:27:42-05,2022-06-14 16:39:32-04,30711,,30711,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30711,1,1944.14.42,,The Letter,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
833133e1-2d47-44ef-a299-6a1e1edaa279,https://api.nga.gov/iiif/833133e1-2d47-44ef-a299-6a1e1edaa279,"https://api.nga.gov/iiif/833133e1-2d47-44ef-a299-6a1e1edaa279/full/!200,200/0/default.jpg",primary,0,4000,3178,640.0,2012-01-23 12:28:11-05,2022-06-14 16:39:32-04,30712,,30712,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30712,1,1944.14.43,,For Teaching Them to Read,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
f35a3591-7a96-48f8-b210-67bed580876e,https://api.nga.gov/iiif/f35a3591-7a96-48f8-b210-67bed580876e,"https://api.nga.gov/iiif/f35a3591-7a96-48f8-b210-67bed580876e/full/!200,200/0/default.jpg",primary,0,3178,4000,640.0,2012-01-23 12:28:56-05,2022-06-14 16:39:32-04,30713,,30713,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30713,1,1944.14.44,,Protest,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
f578ce52-6ae5-43b5-a161-77341a931e41,https://api.nga.gov/iiif/f578ce52-6ae5-43b5-a161-77341a931e41,"https://api.nga.gov/iiif/f578ce52-6ae5-43b5-a161-77341a931e41/full/!200,200/0/default.jpg",primary,0,3208,4000,640.0,2012-01-23 12:29:32-05,2022-06-14 16:39:32-04,30714,,30714,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico,30714,1,1944.14.45,,Book Cover,1943,1943,1943,1926 to 1950,woodcut on China paper,,,,"Méndez, Leopoldo",Leopoldo Méndez,,Rosenwald Collection,Print,,print,,0,CG-W,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,2019-10-28 22:01:34.883-04,
