objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name
61985,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61989,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61992,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61994,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61995,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
163530,1,artist,artist,9698,500006317.0,"Lam, Wifredo",Wifredo Lam,Lam,"Cuban, 1902 - 1982",1,1902.0,1982.0,1901 to 1925,Cuban,Other,individual,Cuban,0.0003919775266218,CU,North America,Cuba
62001,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
62007,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
62010,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
62012,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
62013,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
48413,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
173039,2,artist,author,48572,,"Filho, Armando Freitas",Armando Freitas Filho,Filho,"Brazilian, born 1940",1,1940.0,,1926 to 1950,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
48417,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48419,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48421,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48425,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
173719,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
175609,1,artist,artist,41505,500294023.0,"Garduño, Flor",Flor Garduño,Garduño,"Mexican, born 1957",1,1957.0,,1951 to 1975,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
174321,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
58985,1,artist,artist,5449,,"Saunier, Hector",Hector Saunier,Saunier,"Argentinean, born 1936",1,1936.0,,1926 to 1950,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
64163,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64165,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64166,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64180,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30691,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30698,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30700,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30701,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30705,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30707,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30708,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30710,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
70283,1,artist,artist,6579,500103613.0,"Badii, Libero",Libero Badii,Badii,"Argentinean, 1916 - 2001",1,1916.0,2001.0,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
70293,1,artist,artist,6586,500117866.0,"Ocampo, Miguel",Miguel Ocampo,Ocampo,"Argentinean, born 1922",1,1922.0,,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
48878,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
104917,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
104918,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
104920,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
104922,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
107544,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
109975,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
126930,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
127530,1,artist,sculptor,27441,500027187.0,"Soto, Jesús Rafael",Jesús Rafael Soto,Soto,"Venezuelan, 1923 - 2005",1,1923.0,2005.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
133434,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
141284,2,artist,printer,5449,,"Saunier, Hector",Hector Saunier,Saunier,"Argentinean, born 1936",1,1936.0,,1926 to 1950,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
143119,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
143119,3,artist,author,34339,,"de Ávila, Alejandro",Alejandro de Ávila,de Ávila,Mexican,1,,,,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
58637,1,artist,artist,4585,,"Larez, Francisco",Francisco Larez,Larez,"Venezuelan, born 1936",1,1936.0,,1926 to 1950,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
33117,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
148744,1,artist,artist,5730,500122721.0,"Covarrubias, Miguel",Miguel Covarrubias,Covarrubias,"Mexican, 1904 - 1957",1,1904.0,1957.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
53089,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61917,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61919,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61924,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61930,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61933,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61934,1,artist,artist,3845,500021586.0,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934.0,2017.0,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
61986,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61988,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61993,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
61996,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
62006,1,artist,artist,5918,500117602.0,Gego,Gego,Gego,"Venezuelan, 1912 - 1994",1,1912.0,1994.0,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
48411,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48412,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48414,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48416,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48418,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
48422,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
175610,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
196156,1,artist,artist,39181,500056681.0,"Álvarez Bravo, Lola",Lola Álvarez Bravo,Álvarez Bravo,"Mexican, 1903 - 1993",1,1903.0,1993.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64162,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64167,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64168,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64169,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64173,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64175,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64179,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
64181,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30693,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30696,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30697,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30704,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
219357,1,artist,artist,50386,,"Carneiro, Dulce",Dulce Carneiro,Carneiro,"Brazilian, 1929 - 2018",1,1929.0,2018.0,1926 to 1950,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
220350,1,artist,artist,39181,500056681.0,"Álvarez Bravo, Lola",Lola Álvarez Bravo,Álvarez Bravo,"Mexican, 1903 - 1993",1,1903.0,1993.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
223741,1,artist,artist,41056,500023797.0,"Yampolsky, Mariana",Mariana Yampolsky,Yampolsky,"Mexican, born United States, 1925 - 2002",1,1925.0,2002.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30714,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
30715,1,artist,artist,4962,500111715.0,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902.0,1969.0,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
211388,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
211391,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
70291,1,artist,artist,6583,,"Lanus, Jose Maria",Jose Maria Lanus,Lanus,"Argentinean, born 1922",1,1922.0,,1901 to 1925,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
104921,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
117257,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
10591,1,artist,artist,1918,500024331.0,"Tamayo, Rufino",Rufino Tamayo,Tamayo,"Mexican, 1899 - 1991",1,1899.0,1991.0,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
126931,1,artist,artist,1707,500057123.0,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911.0,2002.0,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
139546,1,artist,artist,22253,500118440.0,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942.0,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
