uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,beginyear,endyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
09d76aa7-c404-4df9-b46a-f754737eedce,https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce,"https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce/full/!200,200/0/default.jpg",primary,0,4000,3125,640,NULL,48412,48412,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
0a295f53-2395-477a-accb-a71fb0acd29c,https://api.nga.gov/iiif/0a295f53-2395-477a-accb-a71fb0acd29c,"https://api.nga.gov/iiif/0a295f53-2395-477a-accb-a71fb0acd29c/full/!200,200/0/default.jpg",primary,0,3018,4000,640,NULL,150703,150703,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0b836014-a4b9-4322-800c-41b27abafea4,https://api.nga.gov/iiif/0b836014-a4b9-4322-800c-41b27abafea4,"https://api.nga.gov/iiif/0b836014-a4b9-4322-800c-41b27abafea4/full/!200,200/0/default.jpg",primary,0,6070,9208,640,NULL,220350,220350,39181,artist,artist,"Mexican, 1903 - 1993",1903,1993,NULL,NULL,500056681,"Lola Álvarez Bravo",1,1903,1993,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0bd6f5d8-336a-49f7-b284-db84642d6787,https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787,"https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787/full/!200,200/0/default.jpg",primary,0,4000,3889,NULL,NULL,143119,143119,34339,artist,author,Mexican,NULL,NULL,NULL,NULL,NULL,"Alejandro de Ávila",1,NULL,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0bd6f5d8-336a-49f7-b284-db84642d6787,https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787,"https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787/full/!200,200/0/default.jpg",primary,0,4000,3889,NULL,NULL,143119,143119,24999,artist,artist,"Mexican, born 1940",1940,NULL,NULL,NULL,500005528,"Francisco Toledo",1,1940,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0bd6f5d8-336a-49f7-b284-db84642d6787,https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787,"https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787/full/!200,200/0/default.jpg",primary,0,4000,3889,NULL,NULL,143119,143119,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0c399ed4-fc6a-4a5e-aec0-0ccea25e4f57,https://api.nga.gov/iiif/0c399ed4-fc6a-4a5e-aec0-0ccea25e4f57,"https://api.nga.gov/iiif/0c399ed4-fc6a-4a5e-aec0-0ccea25e4f57/full/!200,200/0/default.jpg",primary,0,7171,5119,640,NULL,199162,199162,39181,artist,artist,"Mexican, 1903 - 1993",1903,1993,NULL,NULL,500056681,"Lola Álvarez Bravo",1,1903,1993,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0c45f816-d3ac-4f12-8402-84b67e941820,https://api.nga.gov/iiif/0c45f816-d3ac-4f12-8402-84b67e941820,"https://api.nga.gov/iiif/0c45f816-d3ac-4f12-8402-84b67e941820/full/!200,200/0/default.jpg",primary,0,23520,19724,NULL,NULL,221464,221464,51053,artist,painter,"Colombian, born 1982",1982,NULL,NULL,NULL,NULL,"María Berrío",1,1982,NULL,Colombian,individual,Colombian,0,CO,SA,Colombia
0c7a373b-3b13-4219-8466-b0b14c7b3c0e,https://api.nga.gov/iiif/0c7a373b-3b13-4219-8466-b0b14c7b3c0e,"https://api.nga.gov/iiif/0c7a373b-3b13-4219-8466-b0b14c7b3c0e/full/!200,200/0/default.jpg",primary,0,4000,2220,640,NULL,133877,133877,28727,artist,artist,"Mexican, born 1980",1980,NULL,NULL,NULL,500472229,"Miguel Cervantes",1,1980,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0d266bb0-ea84-4931-bf2b-caae2302efd3,https://api.nga.gov/iiif/0d266bb0-ea84-4931-bf2b-caae2302efd3,"https://api.nga.gov/iiif/0d266bb0-ea84-4931-bf2b-caae2302efd3/full/!200,200/0/default.jpg",primary,0,8518,8486,NULL,NULL,217263,217263,38881,artist,artist,"Mexican, born Austria-Hungary, 1912 - 2000",1912,2000,NULL,NULL,NULL,"Kati Horna",1,1912,2000,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0dab8ff7-58f2-47cf-8134-e34eadd27eaf,https://api.nga.gov/iiif/0dab8ff7-58f2-47cf-8134-e34eadd27eaf,"https://api.nga.gov/iiif/0dab8ff7-58f2-47cf-8134-e34eadd27eaf/full/!200,200/0/default.jpg",primary,0,4000,3065,640,NULL,30274,30274,5136,artist,artist,"Mexican, 1883 - 1949",1883,1949,NULL,NULL,500012316,"José Clemente Orozco",1,1883,1949,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0df9c7e6-a61d-4e84-8050-3077af8ca55e,https://api.nga.gov/iiif/0df9c7e6-a61d-4e84-8050-3077af8ca55e,"https://api.nga.gov/iiif/0df9c7e6-a61d-4e84-8050-3077af8ca55e/full/!200,200/0/default.jpg",primary,0,3289,4000,640,NULL,3642,3642,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
0e0e9383-8aea-47b4-8f82-02a79650a243,https://api.nga.gov/iiif/0e0e9383-8aea-47b4-8f82-02a79650a243,"https://api.nga.gov/iiif/0e0e9383-8aea-47b4-8f82-02a79650a243/full/!200,200/0/default.jpg",primary,0,2863,4000,640,NULL,199318,199318,46354,artist,artist,"Argentinean, born 1957",1957,NULL,NULL,NULL,NULL,"Maria Teresa Rizzi",1,1957,NULL,Argentinean,individual,Argentinean,0,AR,SA,Argentina
