expanded_url,title,forwarddisplayname,medium,displaydate,sequence,width,height,maxpixels,depictstmsobjectid,assistivetext,objectid,displayorder,constituentid,ulanid,preferreddisplayname,lastname,nationality,constituenttype,Percent_in_NGA,Country,Continent,Country Name,accessioned,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,parentid,isvirtual,portfolio,series,file_name,directory,file_downloaded
https://api.nga.gov/iiif/95bc5221-79a1-49e1-b75d-67832d4cb941/full/full/0/default.jpg,Festival Andino,Nemesio Antunez,color lithograph,"Chilean, 1918 - 1993",0,2963,4000,640.0,46741,,46741,1,2911,500082877.0,"Antunez, Nemesio",Antunez,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,"Antunez, Nemesio",Nemesio Antunez,,Rosenwald Collection,Print,,0,,,Festival_Andino.jpg,./All_Images,True
https://api.nga.gov/iiif/f8a0c85d-7cfa-4e63-aeea-d67f99ea9a28/full/full/0/default.jpg,Chester Dale,Diego Rivera,oil on canvas,"Mexican, 1886 - 1957",0,5297,4171,640.0,46537,,46537,1,1831,500025126.0,"Rivera, Diego",Rivera,Mexican,individual,0.0024171947475011,MX,North America,Mexico,1,"overall: 100.3 x 126.8 cm (39 1/2 x 49 15/16 in.)
framed: 125.1 x 151.1 cm (49 1/4 x 59 1/2 in.)",upper left: To my very dear friend Chester Dale / DiegoRivera. August 1945; lower right on book: FRENCH PAIN[TING] / from the / CHESTER DALE / COLLECTION,,"Rivera, Diego",Diego Rivera,"Commissioned 1945 by Chester Dale [1883-1962], New York; bequest 1963 to NGA.",Chester Dale Collection,Painting,,0,,,Chester_Dale.jpg,./All_Images,True
https://api.nga.gov/iiif/a2bc5dff-08a4-46d5-9784-bed07028d33b/full/full/0/default.jpg,Compostion XVI,Matta,"color etching, soft-ground, and aquatint with embossing","Chilean, 1911 - 2002",0,2926,4000,640.0,48425,,48425,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_XVI.jpg,./All_Images,True
https://api.nga.gov/iiif/c73c0136-d48d-4bea-89e3-d19372077470/full/full/0/default.jpg,Compostion IV,Matta,"color etching, soft-ground, and aquatint","Chilean, 1911 - 2002",0,4000,3101,640.0,48413,,48413,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_IV.jpg,./All_Images,True
https://api.nga.gov/iiif/1f1918c9-9d30-4491-a94e-e35d3ad8b891/full/full/0/default.jpg,Compostion I,Matta,"color etching, soft-ground, and aquatint on Japan paper","Chilean, 1911 - 2002",0,4000,3084,640.0,48410,,48410,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_I.jpg,./All_Images,True
https://api.nga.gov/iiif/6ce2f494-6ec3-4583-9f81-9706df4b6136/full/full/0/default.jpg,Compostion II,Matta,"color etching, soft-ground, and aquatint","Chilean, 1911 - 2002",0,4000,3120,640.0,48411,,48411,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_II.jpg,./All_Images,True
https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce/full/full/0/default.jpg,Compostion III,Matta,color soft-ground etching and aquatint,"Chilean, 1911 - 2002",0,4000,3125,640.0,48412,,48412,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_III.jpg,./All_Images,True
https://api.nga.gov/iiif/9d101e31-4820-4998-a340-2e8a09be6927/full/full/0/default.jpg,Compostion V,Matta,"color etching, soft-ground, and aquatint","Chilean, 1911 - 2002",0,4000,3097,640.0,48414,,48414,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_V.jpg,./All_Images,True
https://api.nga.gov/iiif/edeb1537-b0ba-44b0-9f3d-48c691a4cdba/full/full/0/default.jpg,Compostion VI,Matta,"color etching, soft-ground, and aquatint","Chilean, 1911 - 2002",0,4000,3106,640.0,48415,,48415,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_VI.jpg,./All_Images,True
https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4/full/full/0/default.jpg,Compostion VII,Matta,"color etching, soft-ground, and aquatint","Chilean, 1911 - 2002",0,4000,3078,640.0,48416,,48416,1,1707,500057123.0,Matta,Matta,Chilean,individual,0.0003919775266218,CL,South America,Chile,1,,,,Matta,Matta,,Rosenwald Collection,Print,,0,"Suite from ""Come detta dentro vo significando""","Suite from ""Come detta dentro vo significando""",Compostion_VII.jpg,./All_Images,True
