uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,created,modified,depictstmsobjectid,assistivetext,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name
06b5a19b-c340-4bdc-b577-949f57dbfd3c,https://api.nga.gov/iiif/06b5a19b-c340-4bdc-b577-949f57dbfd3c,"https://api.nga.gov/iiif/06b5a19b-c340-4bdc-b577-949f57dbfd3c/full/!200,200/0/default.jpg",primary,0,4000,3273,640,2012-01-23 13:11:17-05,2022-06-14 16:39:41-04,30309,,30309,1,artist,artist,3452,500065904,"Zalce, Alfredo",Alfredo Zalce,Zalce,"Mexican, 1908 - 2003",1,1908,2003,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
08aac6ff-cf1b-4aa1-b9c9-b1b8778cfc07,https://api.nga.gov/iiif/08aac6ff-cf1b-4aa1-b9c9-b1b8778cfc07,"https://api.nga.gov/iiif/08aac6ff-cf1b-4aa1-b9c9-b1b8778cfc07/full/!200,200/0/default.jpg",primary,0,5944,7439,640,2018-02-27 18:27:17-05,2022-05-25 11:21:16-04,126506,,126506,1,artist,artist,24991,,"Batista, Abraao",Abraao Batista,Batista,"Brazilian, born 1941",1,1941,,1926 to 1950,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
08bcd910-aa9a-4c8c-92ce-5caab654d66f,https://api.nga.gov/iiif/08bcd910-aa9a-4c8c-92ce-5caab654d66f,"https://api.nga.gov/iiif/08bcd910-aa9a-4c8c-92ce-5caab654d66f/full/!200,200/0/default.jpg",primary,0,3431,3407,640,2015-09-01 13:52:59-04,2022-05-20 14:49:13-04,175619,,175619,1,artist,artist,41510,500342516,"Meinel, Javier Silva",Javier Silva Meinel,Meinel,"Peruvian, born 1949",1,1949,,1926 to 1950,Peruvian,Other,individual,Peruvian,0.0001959887633109,PE,South America,Peru
09278049-4423-47f7-818f-683882d64242,https://api.nga.gov/iiif/09278049-4423-47f7-818f-683882d64242,"https://api.nga.gov/iiif/09278049-4423-47f7-818f-683882d64242/full/!200,200/0/default.jpg",primary,0,5504,6744,640,2018-02-27 17:35:13-05,2022-05-25 11:21:13-04,117249,,117249,1,artist,artist,24991,,"Batista, Abraao",Abraao Batista,Batista,"Brazilian, born 1941",1,1941,,1926 to 1950,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
09d76aa7-c404-4df9-b46a-f754737eedce,https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce,"https://api.nga.gov/iiif/09d76aa7-c404-4df9-b46a-f754737eedce/full/!200,200/0/default.jpg",primary,0,4000,3125,640,2011-12-28 16:15:34-05,2022-06-14 16:36:01-04,48412,,48412,1,artist,artist,1707,500057123,Matta,Matta,Matta,"Chilean, 1911 - 2002",1,1911,2002,1901 to 1925,Chilean,Other,individual,Chilean,0.0003919775266218,CL,South America,Chile
0a295f53-2395-477a-accb-a71fb0acd29c,https://api.nga.gov/iiif/0a295f53-2395-477a-accb-a71fb0acd29c,"https://api.nga.gov/iiif/0a295f53-2395-477a-accb-a71fb0acd29c/full/!200,200/0/default.jpg",primary,0,3018,4000,640,2011-04-14 16:25:31-04,2022-05-19 13:02:03-04,150703,,150703,1,artist,artist,16466,500028115,"Álvarez Bravo, Manuel",Manuel Álvarez Bravo,Álvarez Bravo,"Mexican, 1902 - 2002",1,1902,2002,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0b836014-a4b9-4322-800c-41b27abafea4,https://api.nga.gov/iiif/0b836014-a4b9-4322-800c-41b27abafea4,"https://api.nga.gov/iiif/0b836014-a4b9-4322-800c-41b27abafea4/full/!200,200/0/default.jpg",primary,0,6070,9208,640,2020-11-17 16:38:50-05,2022-06-07 16:12:18-04,220350,,220350,1,artist,artist,39181,500056681,"Álvarez Bravo, Lola",Lola Álvarez Bravo,Álvarez Bravo,"Mexican, 1903 - 1993",1,1903,1993,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0bd6f5d8-336a-49f7-b284-db84642d6787,https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787,"https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787/full/!200,200/0/default.jpg",primary,0,4000,3889,,2011-03-18 12:15:52-04,2022-05-19 12:58:50-04,143119,,143119,2,artist,artist,24999,500005528,"Toledo, Francisco",Francisco Toledo,Toledo,"Mexican, born 1940",1,1940,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0bd6f5d8-336a-49f7-b284-db84642d6787,https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787,"https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787/full/!200,200/0/default.jpg",primary,0,4000,3889,,2011-03-18 12:15:52-04,2022-05-19 12:58:50-04,143119,,143119,3,artist,author,34339,,"de Ávila, Alejandro",Alejandro de Ávila,de Ávila,Mexican,1,,,,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0bd6f5d8-336a-49f7-b284-db84642d6787,https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787,"https://api.nga.gov/iiif/0bd6f5d8-336a-49f7-b284-db84642d6787/full/!200,200/0/default.jpg",primary,0,4000,3889,,2011-03-18 12:15:52-04,2022-05-19 12:58:50-04,143119,,143119,1,artist,artist,22253,500118440,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0c399ed4-fc6a-4a5e-aec0-0ccea25e4f57,https://api.nga.gov/iiif/0c399ed4-fc6a-4a5e-aec0-0ccea25e4f57,"https://api.nga.gov/iiif/0c399ed4-fc6a-4a5e-aec0-0ccea25e4f57/full/!200,200/0/default.jpg",primary,0,7171,5119,640,2018-03-15 12:52:09-04,2022-05-24 16:17:18-04,199162,,199162,1,artist,artist,39181,500056681,"Álvarez Bravo, Lola",Lola Álvarez Bravo,Álvarez Bravo,"Mexican, 1903 - 1993",1,1903,1993,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0c45f816-d3ac-4f12-8402-84b67e941820,https://api.nga.gov/iiif/0c45f816-d3ac-4f12-8402-84b67e941820,"https://api.nga.gov/iiif/0c45f816-d3ac-4f12-8402-84b67e941820/full/!200,200/0/default.jpg",primary,0,23520,19724,,2020-03-06 19:24:42-05,2022-06-07 15:54:26-04,221464,,221464,1,artist,painter,51053,,"Berrío, María",María Berrío,Berrío,"Colombian, born 1982",1,1982,,1976 to 2000,Colombian,Other,individual,Colombian,0.0001306591755406,CO,South America,Colombia
0c7a373b-3b13-4219-8466-b0b14c7b3c0e,https://api.nga.gov/iiif/0c7a373b-3b13-4219-8466-b0b14c7b3c0e,"https://api.nga.gov/iiif/0c7a373b-3b13-4219-8466-b0b14c7b3c0e/full/!200,200/0/default.jpg",primary,0,4000,2220,640,2012-01-23 13:17:59-05,2022-06-14 16:39:45-04,133877,,133877,1,artist,artist,28727,500472229,"Cervantes, Miguel",Miguel Cervantes,Cervantes,"Mexican, born 1980",1,1980,,1976 to 2000,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0d266bb0-ea84-4931-bf2b-caae2302efd3,https://api.nga.gov/iiif/0d266bb0-ea84-4931-bf2b-caae2302efd3,"https://api.nga.gov/iiif/0d266bb0-ea84-4931-bf2b-caae2302efd3/full/!200,200/0/default.jpg",primary,0,8518,8486,,2019-08-06 18:17:49-04,2022-07-18 16:32:29-04,217263,,217263,1,artist,artist,38881,,"Horna, Kati",Kati Horna,Horna,"Mexican, born Austria-Hungary, 1912 - 2000",1,1912,2000,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0dab8ff7-58f2-47cf-8134-e34eadd27eaf,https://api.nga.gov/iiif/0dab8ff7-58f2-47cf-8134-e34eadd27eaf,"https://api.nga.gov/iiif/0dab8ff7-58f2-47cf-8134-e34eadd27eaf/full/!200,200/0/default.jpg",primary,0,4000,3065,640,2012-01-23 12:53:29-05,2022-06-14 16:39:35-04,30274,,30274,1,artist,artist,5136,500012316,"Orozco, José Clemente",José Clemente Orozco,Orozco,"Mexican, 1883 - 1949",1,1883,1949,1876 to 1900,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
